Bottle,Price,Rating,Region,sweet,oak,vanilla,sherry,caramel,cinnamon,wood,honey,chocolate,orange,rich,spicy,bitter,toffee,fruity,citrus,floral
Green Spot,40.17,80.72727273,Irish,3,1,,,2,,,2,,,,,,,,2,
Jameson,22.48111111,74.64705882,Irish,1,,3,,1,,,3,,,,,,,2,,
Jameson 12,51.33333333,81.66666667,Irish,,4,2,,2,,,,,,,,,2,,,
Redbreast 12,34.59777778,84.8,Irish,,,1,2,,2,,,,,,,,,,,
Redbreast 12 Cask Strength B1/11,93,89,Irish,3,,,2,,,,2,,,2,,,,,,2
Redbreast 15,79.5,86.77777778,Irish,,,,2,1,1,,2,,,3,,,,,,
Teeling Small Batch,18.926,85,Irish,,,2,,,,,,,3,,,,,6,,
Tyrconnell Irish Single Malt,19.225,72.66666667,Irish,,,,,1,2,,,,,,,,,,2,
Arran 10,35.5025,84.08695652,Island,6,2,3,,2,,1,,,2,,2,,1,,,
Arran 12 Cask Strength,59,86.6,Island,,2,,,,,,1,4,,,,,,,,2
Arran 14,52.62777778,84.25,Island,4,,3,,2,,2,,,,,,,2,,2,2
Arran Amarone Cask Finish,40.736,82.14285714,Island,4,7,3,1,1,,,2,3,2,,,,,4,,
Arran Port Cask Finish,45.1975,75.5,Island,19,,,9,,5,1,,5,,,,4,7,1,,
Arran Sauternes Cask Finish,42.92333333,80.88888889,Island,2,,3,,,,,1,,,4,,,,,,3
Arran Sherry Single Cask,82.16666667,88,Island,,23,8,21,,,3,,3,,4,,2,,4,2,
Highland Park 10,20.26,83.57142857,Island,,1,1,,,,,3,2,,,,,,,,
Highland Park 12,43.200625,84.65957447,Island,4,,,,,,,,1,,,,,,,,
Highland Park 15,67.9,85.625,Island,1,2,,4,1,1,1,,,3,,,,1,,,
Highland Park 15 Freya,285,86.57142857,Island,1,,2,2,,,,,,,,,,,,,
Highland Park 15 Loki,257.5,88.625,Island,10,3,1,,3,5,12,,,,,4,,,,,2
Highland Park 18,89.33461538,88.03448276,Island,2,2,,,,,,3,,,,,,,,,2
Highland Park 25,193.9388889,90.66666667,Island,3,,,,,,,,2,,,,,,,,
Highland Park 8 MacPhail’s Collection,33,84.42857143,Island,2,,,,,,,,,,,,,,,,1
Highland Park Dark Origins,87.875,82.82352941,Island,3,,1,6,,,,,,,,,1,,,,
Jura 10,35.05882353,72.74193548,Island,1,4,,,,,,,,2,,2,,,,4,
Jura 16,59.72727273,80.82608696,Island,1,4,,,,,,,,2,,2,,,,4,
Jura Prophecy,71.25,81.66666667,Island,2,,1,,,1,,1,,,,2,,,,,
Jura Superstition,37.690625,78.24137931,Island,,,2,,,,2,,,,,,,2,,,
Ledaig 10,46.14285714,80.84615385,Island,2,,6,,,,,,,,,,,4,,,
Ledaig 7 /r/Scotch Community Cask,65,82.61538462,Island,4,,1,2,,,,3,,,,,,1,,,
Scapa 16,68.83636364,81.6,Island,2,,,2,,,,,,,,,,,1,,2
Talisker 10,51.43078947,86.67256637,Island,2,,,,,,,,,,,,,,,1,
Talisker 18,88.72727273,88.6,Island,2,2,2,,,,,2,,,,,,1,,,
Talisker 25,106.1257143,91,Island,4,,4,2,,,8,1,,,2,,,1,,,
Talisker 30,187.875,88.16666667,Island,2,11,8,3,,3,17,1,6,5,1,6,,9,11,5,
Talisker 57° North,65.77857143,87.40740741,Island,2,3,,4,,,4,1,,,,,2,,,1,1
Talisker Distiller's Edition,76,88.41666667,Island,7,,,,,,,1,,,,3,,,,2,2
Talisker Distiller's Edition 2000,77.5,87.25,Island,,3,5,4,3,2,,1,,2,2,,,2,,,3
Talisker Distiller's Edition 2012,77.42857143,89.4,Island,1,,,,,,,,,2,,,,,,,
Talisker Distiller's Edition 2013,36.2375,89.14285714,Island,2,3,,4,,,4,1,,,,,2,,,1,1
Talisker Port Ruighe,44.93333333,85.44444444,Island,2,3,,4,,,4,1,,,,,2,,,1,1
Talisker Storm,45.125,83.5,Island,7,,,,,,,1,,,,3,,,,2,2
Tobermory 10,29.960625,82.8,Island,2,,2,,2,,,,2,2,,,1,,1,,6
Tobermory 15,116.0875,88.29411765,Island,2,,6,,,,,,,,,,,4,,,
Ardbeg 10,48.02408163,85.96923077,Islay,2,,2,,,,,,,,,,,,,,
Ardbeg 21 Sovereign,343.75,91.75,Islay,,2,1,,,,,,,,,,,,,,
Ardbeg Airigh Nam Beist 1990,136,88.55555556,Islay,,,,,,,,,,,,,2,,,,
Ardbeg Alligator,141,88.625,Islay,6,,4,4,2,3,9,1,,2,,,6,3,,,
Ardbeg Ardbog,107.4911765,89.35135135,Islay,1,,,,,,,2,,,,,,,,,
Ardbeg Auriverdes,100.2,83.54545455,Islay,6,,4,4,2,3,9,1,,2,,,6,3,,,
Ardbeg Blasda,85,80.66666667,Islay,2,,3,,,,,,1,,,,2,,,,
Ardbeg Corryvreckan,66.00842105,90.50746269,Islay,3,,3,2,1,,,,,2,,,,,,3,
Ardbeg Day,242.5,90.55555556,Islay,4,,6,8,,,4,2,,10,,,,,2,1,
Ardbeg Galileo,102.1764706,88.33333333,Islay,6,,4,4,2,3,9,1,,2,,,6,3,,,
Ardbeg Supernova 2014,154.5,93.42857143,Islay,,,,,,,,,,,,,,,,,
Ardbeg Uigeadail,63.82053191,92.09016393,Islay,2,,,4,,,4,,6,,,,,,,,
